x,y,event,description,ordinalNum
-73.0,37.0,Shot,Dustin Brown Wrist Shot saved by Robin Lehner,1st
-76.0,27.0,Shot,Adrian Kempe Snap Shot saved by Robin Lehner,1st
-37.0,35.0,Shot,Sean Walker Wrist Shot saved by Robin Lehner,1st
-38.0,21.0,Shot,Sean Walker Wrist Shot saved by Robin Lehner,1st
-36.0,34.0,Missed Shot,Tobias Bjornfot Wide of Net Robin Lehner,1st
-52.0,-35.0,Shot,Brendan Lemieux Wrist Shot saved by Robin Lehner,1st
-38.0,20.0,Shot,Drew Doughty Wrist Shot saved by Robin Lehner,1st
-80.0,7.0,Shot,Viktor Arvidsson Wrist Shot saved by Robin Lehner,1st
-83.0,4.0,Shot,Blake Lizotte Snap Shot saved by Robin Lehner,1st
-82.0,-3.0,Shot,Blake Lizotte Backhand saved by Robin Lehner,1st
-34.0,-27.0,Shot,Alexander Edler Deflected saved by Robin Lehner,1st
-71.0,16.0,Shot,Sean Walker Wrist Shot saved by Robin Lehner,1st
-75.0,16.0,Missed Shot,Viktor Arvidsson Wide of Net Robin Lehner,1st
-65.0,-6.0,Shot,Anze Kopitar Slap Shot saved by Robin Lehner,1st
-69.0,-12.0,Missed Shot,Viktor Arvidsson Wide of Net Robin Lehner,1st
-53.0,-28.0,Shot,Mikey Anderson Slap Shot saved by Robin Lehner,1st
-61.0,31.0,Shot,Alex Iafallo Wrist Shot saved by Robin Lehner,1st
-77.0,-7.0,Shot,Dustin Brown Wrist Shot saved by Robin Lehner,1st
-73.0,-13.0,Shot,Dustin Brown Wrist Shot saved by Robin Lehner,1st
-83.0,-7.0,Goal,Dustin Brown (1) Wrist Shot, assists: Drew Doughty (1), Anze Kopitar (1),1st
-40.0,18.0,Goal,Anze Kopitar (1) Wrist Shot, assists: Vladimir Tkachev (1), Drew Doughty (2),1st
-47.0,2.0,Shot,Adrian Kempe Wrist Shot saved by Robin Lehner,2nd
-98.0,0.0,Shot,Sean Walker Wrist Shot saved by Robin Lehner,2nd
-75.0,-39.0,Shot,Anze Kopitar Wrist Shot saved by Robin Lehner,2nd
-75.0,-2.0,Goal,Phillip Danault (1) Tip-In, assists: Drew Doughty (3), Alex Iafallo (1),2nd
-74.0,19.0,Shot,Viktor Arvidsson Backhand saved by Robin Lehner,2nd
-37.0,26.0,Shot,Mikey Anderson Wrist Shot saved by Robin Lehner,2nd
-71.0,-21.0,Shot,Adrian Kempe Snap Shot saved by Robin Lehner,2nd
-75.0,1.0,Shot,Trevor Moore Backhand saved by Robin Lehner,2nd
-67.0,-9.0,Goal,Anze Kopitar (2) Wrist Shot, assists: Adrian Kempe (1), Alex Iafallo (2),2nd
-41.0,28.0,Missed Shot,Tobias Bjornfot Wide of Net Robin Lehner,2nd
-56.0,-24.0,Missed Shot,Blake Lizotte Wide of Net Robin Lehner,2nd
-73.0,0.0,Shot,Adrian Kempe Slap Shot saved by Robin Lehner,2nd
-38.0,-7.0,Missed Shot,Sean Walker Wide of Net Robin Lehner,2nd
-63.0,-20.0,Shot,Phillip Danault Wrist Shot saved by Robin Lehner,2nd
-56.0,38.0,Shot,Alex Iafallo Wrist Shot saved by Robin Lehner,2nd
-78.0,2.0,Missed Shot,Arthur Kaliyev Wide of Net Robin Lehner,2nd
-68.0,15.0,Shot,Viktor Arvidsson Wrist Shot saved by Robin Lehner,2nd
-44.0,-13.0,Missed Shot,Phillip Danault Wide of Net Laurent Brossoit,3rd
-47.0,31.0,Missed Shot,Sean Walker Wide of Net Laurent Brossoit,3rd
-40.0,4.0,Goal,Drew Doughty (1) Slap Shot, assists: Vladimir Tkachev (2), Anze Kopitar (2),3rd
-81.0,34.0,Shot,Adrian Kempe Wrist Shot saved by Laurent Brossoit,3rd
-81.0,4.0,Shot,Anze Kopitar Backhand saved by Laurent Brossoit,3rd
-62.0,-14.0,Missed Shot,Viktor Arvidsson Wide of Net Laurent Brossoit,3rd
-39.0,-28.0,Missed Shot,Dustin Brown Goalpost Laurent Brossoit,3rd
-23.0,40.0,Shot,Viktor Arvidsson Slap Shot saved by Laurent Brossoit,3rd
-72.0,33.0,Shot,Arthur Kaliyev Wrist Shot saved by Laurent Brossoit,3rd
-74.0,-3.0,Shot,Tobias Bjornfot Snap Shot saved by Laurent Brossoit,3rd
-36.0,32.0,Shot,Matt Roy Snap Shot saved by Laurent Brossoit,3rd
-87.0,-22.0,Shot,Anze Kopitar Wrist Shot saved by Laurent Brossoit,3rd
-58.0,-18.0,Missed Shot,Viktor Arvidsson Wide of Net Laurent Brossoit,3rd
-85.0,-28.0,Shot,Trevor Moore Wrist Shot saved by Laurent Brossoit,3rd
-74.0,10.0,Shot,Viktor Arvidsson Wrist Shot saved by Laurent Brossoit,3rd
-81.0,4.0,Goal,Anze Kopitar (3) Backhand, assists: Viktor Arvidsson (1), Dustin Brown (1),3rd
-59.0,-18.0,Shot,Blake Lizotte Wrist Shot saved by Laurent Brossoit,3rd
-73.0,-12.0,Shot,Trevor Moore Snap Shot saved by Laurent Brossoit,3rd
-37.0,-30.0,Shot,Alexander Edler Wrist Shot saved by Laurent Brossoit,3rd
-35.0,-8.0,Shot,Alexander Edler Wrist Shot saved by Laurent Brossoit,3rd
-50.0,-17.0,Missed Shot,Brendan Lemieux Wide of Net Laurent Brossoit,3rd
-36.0,37.0,Shot,Matt Roy Wrist Shot saved by Laurent Brossoit,3rd
-70.0,6.0,Missed Shot,Brendan Lemieux Wide of Net Laurent Brossoit,3rd
-37.0,29.0,Missed Shot,Matt Roy Wide of Net Laurent Brossoit,3rd
-34.0,-25.0,Shot,Alexander Edler Wrist Shot saved by Cam Talbot,1st
-50.0,36.0,Shot,Arthur Kaliyev Wrist Shot saved by Cam Talbot,1st
-80.0,4.0,Missed Shot,Dustin Brown Wide of Net Cam Talbot,1st
-65.0,-16.0,Missed Shot,Vladimir Tkachev Wide of Net Cam Talbot,1st
-80.0,7.0,Shot,Alex Iafallo Wrist Shot saved by Cam Talbot,1st
-37.0,-21.0,Shot,Mikey Anderson Wrist Shot saved by Cam Talbot,1st
-37.0,16.0,Shot,Drew Doughty Slap Shot saved by Cam Talbot,1st
-36.0,-33.0,Shot,Mikey Anderson Wrist Shot saved by Cam Talbot,1st
-77.0,-1.0,Missed Shot,Trevor Moore Wide of Net Cam Talbot,1st
-79.0,33.0,Missed Shot,Trevor Moore Wide of Net Cam Talbot,1st
-61.0,-18.0,Missed Shot,Phillip Danault Wide of Net Cam Talbot,1st
-41.0,-21.0,Shot,Alexander Edler Slap Shot saved by Cam Talbot,1st
-79.0,-3.0,Shot,Viktor Arvidsson Wrist Shot saved by Cam Talbot,1st
-85.0,-7.0,Shot,Anze Kopitar Wrist Shot saved by Cam Talbot,1st
-60.0,14.0,Shot,Dustin Brown Deflected saved by Cam Talbot,1st
-57.0,24.0,Missed Shot,Adrian Kempe Wide of Net Cam Talbot,1st
-69.0,4.0,Shot,Adrian Kempe Snap Shot saved by Cam Talbot,1st
-72.0,16.0,Shot,Viktor Arvidsson Wrist Shot saved by Cam Talbot,2nd
-82.0,-35.0,Shot,Trevor Moore Wrist Shot saved by Cam Talbot,2nd
-65.0,15.0,Shot,Blake Lizotte Backhand saved by Cam Talbot,2nd
-77.0,-1.0,Shot,Trevor Moore Snap Shot saved by Cam Talbot,2nd
-52.0,-5.0,Missed Shot,Viktor Arvidsson Wide of Net Cam Talbot,2nd
-58.0,-22.0,Shot,Anze Kopitar Slap Shot saved by Cam Talbot,2nd
-81.0,-3.0,Goal,Viktor Arvidsson (1) Wrist Shot, assists: Anze Kopitar (3), Drew Doughty (4),2nd
-62.0,38.0,Missed Shot,Viktor Arvidsson Wide of Net Cam Talbot,2nd
-56.0,-8.0,Shot,Viktor Arvidsson Wrist Shot saved by Cam Talbot,2nd
-84.0,-3.0,Shot,Dustin Brown Wrist Shot saved by Cam Talbot,2nd
-36.0,32.0,Shot,Matt Roy Wrist Shot saved by Cam Talbot,2nd
-33.0,29.0,Shot,Matt Roy Wrist Shot saved by Cam Talbot,2nd
-45.0,-34.0,Shot,Viktor Arvidsson Wrist Shot saved by Cam Talbot,2nd
-23.0,-27.0,Missed Shot,Adrian Kempe Wide of Net Cam Talbot,2nd
-81.0,-4.0,Shot,Phillip Danault Backhand saved by Cam Talbot,3rd
-76.0,-33.0,Shot,Alex Iafallo Wrist Shot saved by Cam Talbot,3rd
-79.0,5.0,Missed Shot,Alex Iafallo Wide of Net Cam Talbot,3rd
-78.0,21.0,Goal,Anze Kopitar (4) Deflected, assists: Drew Doughty (5), Jonathan Quick (1),3rd
-33.0,7.0,Shot,Alex Iafallo Deflected saved by Cam Talbot,3rd
-76.0,33.0,Missed Shot,Matt Roy Wide of Net Cam Talbot,3rd
-85.0,25.0,Missed Shot,Dustin Brown Wide of Net Cam Talbot,3rd
-36.0,11.0,Missed Shot,Drew Doughty Wide of Net Cam Talbot,3rd
-74.0,-32.0,Shot,Trevor Moore Wrist Shot saved by Cam Talbot,3rd
-87.0,-14.0,Shot,Sean Walker Backhand saved by Cam Talbot,3rd
-77.0,4.0,Missed Shot,Viktor Arvidsson Wide of Net Cam Talbot,3rd
-83.0,33.0,Shot,Sean Walker Wrist Shot saved by Cam Talbot,3rd
-82.0,27.0,Shot,Alex Iafallo Backhand saved by Cam Talbot,3rd
-48.0,-37.0,Missed Shot,Adrian Kempe Wide of Net Cam Talbot,3rd
-77.0,-21.0,Shot,Dustin Brown Snap Shot saved by Cam Talbot,3rd
-38.0,5.0,Shot,Dustin Brown Wrist Shot saved by Juuse Saros,1st
-40.0,19.0,Shot,Drew Doughty Slap Shot saved by Juuse Saros,1st
-43.0,31.0,Missed Shot,Viktor Arvidsson Over Net Juuse Saros,1st
-68.0,32.0,Missed Shot,Gabriel Vilardi Wide of Net Juuse Saros,1st
-81.0,-26.0,Shot,Anze Kopitar Wrist Shot saved by Juuse Saros,1st
-83.0,-17.0,Shot,Rasmus Kupari Wrist Shot saved by Juuse Saros,1st
-44.0,13.0,Missed Shot,Carl Grundstrom Wide of Net Juuse Saros,1st
-79.0,-11.0,Shot,Alex Iafallo Wrist Shot saved by Juuse Saros,1st
-75.0,6.0,Shot,Gabriel Vilardi Deflected saved by Juuse Saros,1st
-64.0,19.0,Shot,Vladimir Tkachev Wrist Shot saved by Juuse Saros,1st
-9.0,-20.0,Shot,Adrian Kempe Wrist Shot saved by Juuse Saros,2nd
-81.0,-8.0,Shot,Rasmus Kupari Wrist Shot saved by Juuse Saros,2nd
-67.0,-23.0,Shot,Carl Grundstrom Snap Shot saved by Juuse Saros,2nd
-52.0,18.0,Goal,Anze Kopitar (5) Wrist Shot, assists: Dustin Brown (2), Drew Doughty (6),2nd
-86.0,29.0,Missed Shot,Blake Lizotte Wide of Net Juuse Saros,2nd
-79.0,-3.0,Missed Shot,Adrian Kempe Wide of Net Juuse Saros,2nd
-40.0,-25.0,Shot,Sean Walker Wrist Shot saved by Juuse Saros,2nd
-46.0,-36.0,Missed Shot,Sean Walker Wide of Net Juuse Saros,2nd
-46.0,-22.0,Shot,Sean Walker Wrist Shot saved by Juuse Saros,2nd
-59.0,11.0,Shot,Carl Grundstrom Wrist Shot saved by Juuse Saros,2nd
-64.0,23.0,Shot,Alex Iafallo Wrist Shot saved by Juuse Saros,2nd
-80.0,27.0,Shot,Matt Roy Backhand saved by Juuse Saros,2nd
-67.0,-32.0,Shot,Adrian Kempe Wrist Shot saved by Juuse Saros,2nd
-61.0,4.0,Missed Shot,Alex Iafallo Wide of Net Juuse Saros,2nd
-74.0,-17.0,Shot,Viktor Arvidsson Snap Shot saved by Juuse Saros,3rd
-74.0,-13.0,Shot,Alex Iafallo Wrist Shot saved by Juuse Saros,3rd
-82.0,-9.0,Shot,Carl Grundstrom Backhand saved by Juuse Saros,3rd
-35.0,29.0,Missed Shot,Mikey Anderson Wide of Net Juuse Saros,3rd
-38.0,-18.0,Shot,Drew Doughty Wrist Shot saved by Juuse Saros,3rd
-68.0,-23.0,Shot,Viktor Arvidsson Wrist Shot saved by Juuse Saros,3rd
-40.0,4.0,Shot,Dustin Brown Snap Shot saved by Juuse Saros,3rd
-45.0,25.0,Shot,Sean Walker Snap Shot saved by Juuse Saros,3rd
-56.0,29.0,Shot,Dustin Brown Snap Shot saved by Juuse Saros,3rd
-40.0,30.0,Shot,Anze Kopitar Slap Shot saved by Juuse Saros,3rd
-42.0,31.0,Shot,Viktor Arvidsson Wrist Shot saved by Braden Holtby,1st
-76.0,31.0,Shot,Blake Lizotte Wrist Shot saved by Braden Holtby,1st
-80.0,28.0,Shot,Arthur Kaliyev Wrist Shot saved by Braden Holtby,1st
-36.0,-18.0,Shot,Matt Roy Wrist Shot saved by Braden Holtby,1st
-82.0,-31.0,Shot,Dustin Brown Wrist Shot saved by Braden Holtby,1st
-58.0,-24.0,Missed Shot,Dustin Brown Wide of Net Braden Holtby,1st
-67.0,5.0,Missed Shot,Dustin Brown Wide of Net Braden Holtby,1st
-74.0,9.0,Shot,Carl Grundstrom Wrist Shot saved by Braden Holtby,1st
-66.0,19.0,Shot,Anze Kopitar Snap Shot saved by Braden Holtby,1st
-83.0,7.0,Shot,Drew Doughty Wrist Shot saved by Braden Holtby,1st
-46.0,11.0,Shot,Arthur Kaliyev Wrist Shot saved by Braden Holtby,1st
-67.0,2.0,Shot,Adrian Kempe Backhand saved by Braden Holtby,1st
-40.0,-31.0,Shot,Matt Roy Slap Shot saved by Braden Holtby,1st
-84.0,-6.0,Missed Shot,Dustin Brown Over Net Braden Holtby,1st
-76.0,-31.0,Shot,Arthur Kaliyev Wrist Shot saved by Braden Holtby,1st
-18.0,6.0,Shot,Gabriel Vilardi Wrist Shot saved by Braden Holtby,1st
-85.0,-3.0,Goal,Anze Kopitar (6) Wrist Shot, assists: Viktor Arvidsson (2), Dustin Brown (3),1st
-57.0,-24.0,Shot,Viktor Arvidsson Wrist Shot saved by Braden Holtby,2nd
-72.0,-18.0,Missed Shot,Alex Iafallo Wide of Net Braden Holtby,2nd
-16.0,22.0,Shot,Alexander Edler Wrist Shot saved by Braden Holtby,2nd
-37.0,25.0,Shot,Phillip Danault Wrist Shot saved by Braden Holtby,2nd
-80.0,-12.0,Shot,Adrian Kempe Wrist Shot saved by Braden Holtby,2nd
-59.0,32.0,Missed Shot,Dustin Brown Wide of Net Braden Holtby,2nd
-53.0,-32.0,Shot,Viktor Arvidsson Slap Shot saved by Braden Holtby,2nd
-39.0,-28.0,Shot,Sean Walker Snap Shot saved by Braden Holtby,2nd
-44.0,6.0,Shot,Sean Walker Wrist Shot saved by Braden Holtby,2nd
-70.0,1.0,Missed Shot,Blake Lizotte Wide of Net Braden Holtby,2nd
-43.0,21.0,Shot,Sean Walker Wrist Shot saved by Braden Holtby,2nd
-70.0,11.0,Shot,Blake Lizotte Backhand saved by Braden Holtby,2nd
-80.0,8.0,Shot,Dustin Brown Wrist Shot saved by Braden Holtby,2nd
-75.0,8.0,Shot,Matt Roy Wrist Shot saved by Braden Holtby,2nd
-40.0,0.0,Shot,Matt Roy Wrist Shot saved by Braden Holtby,2nd
-65.0,12.0,Shot,Anze Kopitar Wrist Shot saved by Braden Holtby,2nd
-46.0,22.0,Shot,Sean Walker Slap Shot saved by Braden Holtby,2nd
-61.0,-30.0,Missed Shot,Trevor Moore Wide of Net Braden Holtby,2nd
-84.0,11.0,Shot,Mikey Anderson Wrist Shot saved by Braden Holtby,2nd
-78.0,5.0,Missed Shot,Alex Iafallo Wide of Net Braden Holtby,2nd
-75.0,3.0,Missed Shot,Dustin Brown Wide of Net Braden Holtby,2nd
-66.0,11.0,Goal,Gabriel Vilardi (1) Wrist Shot, assists: Arthur Kaliyev (1), Sean Walker (1),2nd
-45.0,-35.0,Missed Shot,Viktor Arvidsson Wide of Net Braden Holtby,2nd
-70.0,7.0,Shot,Gabriel Vilardi Wrist Shot saved by Braden Holtby,2nd
-77.0,-30.0,Shot,Phillip Danault Backhand saved by Braden Holtby,3rd
-82.0,-3.0,Shot,Alex Iafallo Wrist Shot saved by Braden Holtby,3rd
-17.0,28.0,Shot,Dustin Brown Snap Shot saved by Braden Holtby,3rd
-82.0,-18.0,Missed Shot,Viktor Arvidsson Wide of Net Braden Holtby,3rd
-78.0,-35.0,Shot,Matt Roy Slap Shot saved by Braden Holtby,3rd
-71.0,-30.0,Shot,Sean Walker Slap Shot saved by Braden Holtby,3rd
-47.0,-30.0,Shot,Viktor Arvidsson Slap Shot saved by Braden Holtby,3rd
-53.0,-26.0,Shot,Dustin Brown Wrist Shot saved by Braden Holtby,3rd
-41.0,1.0,Shot,Phillip Danault Wrist Shot saved by Braden Holtby,3rd
-68.0,30.0,Shot,Blake Lizotte Slap Shot saved by Braden Holtby,3rd
-78.0,2.0,Shot,Viktor Arvidsson Wrist Shot saved by Braden Holtby,3rd
-84.0,-12.0,Missed Shot,Viktor Arvidsson Wide of Net Braden Holtby,3rd
-38.0,1.0,Missed Shot,Matt Roy Wide of Net Braden Holtby,3rd
-78.0,7.0,Missed Shot,Viktor Arvidsson Wide of Net Braden Holtby,OT
-75.0,6.0,Missed Shot,Phillip Danault Wide of Net Braden Holtby,OT
-80.0,-1.0,Shot,Dustin Brown Backhand saved by Braden Holtby,OT
-69.0,-20.0,Shot,Dustin Brown Wrist Shot saved by Braden Holtby,OT
-75.0,-17.0,Shot,Sean Walker Wrist Shot saved by Braden Holtby,OT
-69.0,-13.0,Shot,Viktor Arvidsson Slap Shot saved by Braden Holtby,OT
-68.0,7.0,Missed Shot,Alex Iafallo Wide of Net Jordan Binnington,1st
-62.0,2.0,Shot,Adrian Kempe Wrist Shot saved by Jordan Binnington,1st
-74.0,2.0,Shot,Alex Iafallo Tip-In saved by Jordan Binnington,1st
-16.0,-32.0,Shot,Trevor Moore Wrist Shot saved by Jordan Binnington,1st
-16.0,33.0,Shot,Arthur Kaliyev Wrist Shot saved by Jordan Binnington,1st
-77.0,2.0,Shot,Arthur Kaliyev Wrist Shot saved by Jordan Binnington,1st
-58.0,-31.0,Shot,Sean Walker Wrist Shot saved by Jordan Binnington,1st
-39.0,-21.0,Shot,Trevor Moore Wrist Shot saved by Jordan Binnington,1st
-80.0,7.0,Shot,Arthur Kaliyev Backhand saved by Jordan Binnington,1st
-67.0,-17.0,Goal,Alex Iafallo (1) Wrist Shot, assists: Alexander Edler (1),1st
-72.0,18.0,Shot,Sean Walker Wrist Shot saved by Jordan Binnington,1st
-57.0,32.0,Shot,Matt Roy Wrist Shot saved by Jordan Binnington,1st
-78.0,-11.0,Shot,Alex Iafallo Wrist Shot saved by Jordan Binnington,1st
-74.0,-6.0,Missed Shot,Viktor Arvidsson Wide of Net Jordan Binnington,1st
-4.0,38.0,Shot,Gabriel Vilardi Wrist Shot saved by Jordan Binnington,1st
-35.0,31.0,Shot,Alexander Edler Wrist Shot saved by Jordan Binnington,2nd
-79.0,9.0,Shot,Anze Kopitar Wrist Shot saved by Jordan Binnington,2nd
-60.0,-15.0,Missed Shot,Sean Walker Over Net Jordan Binnington,2nd
-84.0,19.0,Missed Shot,Trevor Moore Wide of Net Jordan Binnington,2nd
-86.0,-17.0,Shot,Phillip Danault Backhand saved by Jordan Binnington,2nd
-58.0,23.0,Shot,Arthur Kaliyev Wrist Shot saved by Jordan Binnington,2nd
-86.0,-26.0,Missed Shot,Viktor Arvidsson Wide of Net Jordan Binnington,2nd
-84.0,-14.0,Shot,Gabriel Vilardi Wrist Shot saved by Jordan Binnington,2nd
-68.0,0.0,Missed Shot,Gabriel Vilardi Over Net Jordan Binnington,2nd
-49.0,26.0,Shot,Olli Maatta Wrist Shot saved by Jordan Binnington,2nd
-72.0,-26.0,Shot,Sean Walker Wrist Shot saved by Jordan Binnington,2nd
-76.0,1.0,Shot,Viktor Arvidsson Tip-In saved by Jordan Binnington,2nd
-38.0,27.0,Missed Shot,Matt Roy Wide of Net Jordan Binnington,2nd
-42.0,24.0,Shot,Alexander Edler Wrist Shot saved by Jordan Binnington,2nd
-44.0,14.0,Shot,Alexander Edler Wrist Shot saved by Jordan Binnington,2nd
-80.0,11.0,Shot,Carl Grundstrom Wrist Shot saved by Jordan Binnington,2nd
-59.0,8.0,Shot,Adrian Kempe Wrist Shot saved by Jordan Binnington,2nd
-40.0,-1.0,Missed Shot,Matt Roy Wide of Net Jordan Binnington,2nd
-49.0,-24.0,Missed Shot,Matt Roy Wide of Net Jordan Binnington,2nd
-79.0,-9.0,Goal,Dustin Brown (2) Wrist Shot, assists: Sean Walker (2), Viktor Arvidsson (3),3rd
-67.0,-13.0,Missed Shot,Olli Maatta Wide of Net Jordan Binnington,3rd
-76.0,12.0,Shot,Phillip Danault Backhand saved by Jordan Binnington,3rd
-70.0,8.0,Missed Shot,Alex Iafallo Wide of Net Jordan Binnington,3rd
-64.0,3.0,Shot,Arthur Kaliyev Wrist Shot saved by Jordan Binnington,3rd
-83.0,-7.0,Goal,Carl Grundstrom (1) Wrist Shot, assists: Alexander Edler (2), Blake Lizotte (1),3rd
-77.0,-14.0,Shot,Alex Iafallo Snap Shot saved by Jordan Binnington,3rd
-36.0,-22.0,Shot,Alexander Edler Slap Shot saved by Jordan Binnington,3rd
-72.0,-1.0,Shot,Alex Iafallo Wrist Shot saved by Jordan Binnington,3rd
